ten;vn;kmz;song;pre;num;suf;x_utm;y_utm;co_z;ch_survey;rong_excel;rong_tuyen;z_day;n_pt;file_excel;mike1;mike1_ch;mike1_d;mike2;mike2_ch;mike2_d;mike3;mike3_ch;mike3_d
SWat Lo;SWATLO;VN;;;;;538630.9;1172025.6;no;;;1762.8;;;;VamNao;13997.1;403.2;Cai Tac;10705.4;416.1;;;
Sat Lo;SATLO;ST;;;;;649905.7;1144072.3;no;;;992.9;;;;Tien;178960.6;393.3;Tien_7;1301.2;443.1;Bao Dinh;0.0;594.6
Sat Lo;SATLO;ST;;;;;650327.0;1144272.7;no;;;821.4;;;;Tien_7;1636.6;143.8;Bao Dinh;0.0;641.9;Tien;178984.5;809.0
Sat Lo;SATLO;ST;;;;;612005.9;1140908.2;no;;;2035.6;;;;CaiBe_TG;854.9;305.3;Tien;137665.3;690.1;Phuoc Xuyen;21040.1;1587.4
Sat Lo;SATLO;ST;;;;;574071.7;1151231.6;no;;;1317.3;;;;Tien;88612.9;466.3;Cao Lanh;17193.1;1403.8;So 1;0.0;2658.7
Sat Lo;SATLO;ST;;;;;566628.5;1154078.0;no;;;541.9;;;;Tien_6;1842.2;147.5;Tien;77799.4;1970.4;;;
Sat Lo;SATLO;ST;;;;;559431.1;1164316.9;no;;;1110.7;;;;Tien;65045.8;239.7;Tan Cong Chi4;13046.4;1999.8;DTM83-3;3859.0;2139.6
Sông Bình Ghi;SONGBINHGHI;SH;;;;;508677.8;1209465.6;no;;;;;;;SongBinhDi;1645.0;150.5;BASSAC;112.9;1721.8;BassacCam;83305.5;1884.6
Campuchia;CAMPUCHIA;SH;;;;;507946.1;1211797.7;no;;;;;;;BassacCam;82473.0;43.6;BASSAC;0.0;1231.2;SongBinhDi;327.6;1252.5
Sông Bình Ghi;SONGBINHGHI;SH;;;;;508677.8;1209465.6;no;;;;;;;SongBinhDi;1645.0;150.5;BASSAC;112.9;1721.8;BassacCam;83305.5;1884.6
Sat lo;SATLO;SH;;;;;618495.5;1079169.1;no;;;8156.5;;;;CuaTranDe;1301.1;589.0;CuaDinhAn;1069.9;990.5;Hau_11;9786.6;1219.7
Sat Lo;SATLO;SH;;;;;633948.0;1064350.6;no;;;5439.4;;;;CuaDinhAn;22916.6;1343.2;SHU_10_100)2005;14379.5;1591.8;;;
Sat Lo;SATLO;SH;;;;;630646.4;1059632.0;no;;;;;;;CuaTranDe;25053.3;858.9;SHU_12_108_2005;14709.9;994.3;;;
Sat Lo;SATLO;SH;;;;;637696.1;1061361.2;no;;;2499.1;;;;CuaDinhAn;27516.9;1470.8;SHU_10_100)2005;19055.3;1757.1;;;
34P1;34P1;SH;;;;;606154.9;1092054.1;no;;;847.3;;;;Hau_10;1820.2;73.3;BASSAC;175976.0;849.5;Hau_9;8567.9;1219.6
Sat Lo;SATLO;SH;;;;;514343.8;1185747.4;no;;;3806.0;;;;BASSAC;36082.4;159.8;Vinh An;15110.6;708.5;Takaev-Channel;11492.3;1910.2
Sat Lo;SATLO;SH;;;;;545103.9;1151631.2;no;;;;;;;BASSAC;88547.2;338.6;TGLX42-3;2501.9;1253.5;TGLX42;1823.5;1401.7
Sat Lo;SATLO;SH;;;;;536549.2;1163904.8;no;;;2580.6;;;;BASSAC;72613.5;492.6;TGLX37-2;49.7;1055.7;VamNao;23423.6;1409.9
Sat Lo;SATLO;SH;;;;;586485.7;1113260.3;no;;;1754.6;;;;BASSAC;146436.0;555.4;Nha Man TT;25020.8;703.5;Bao Ke DH;854.8;1713.7
Sat Lo;SATLO;CC;;;;;649326.4;1103395.3;no;;;1582.1;;;;CuaCungHau;2616.6;517.2;TRAVINH;0.0;715.2;CuaCoChien;2335.8;1218.7
Sat Lo;SATLO;CC;;;;;616861.7;1132869.8;no;;;568.8;;;;CoChien;16748.9;303.6;CoChien_1;3491.7;1288.5;Tong Hung LH;0.0;1522.2
Sat Lo;SATLO;CC;;;;;616727.8;1134077.8;no;;;1322.7;;;;CoChien_1;3285.1;90.8;C01;7196.7;880.3;CoChien;16542.9;1501.4
SH1;SH1;SH;BASSAC;SH;1;;510601.9;1207017.6;yes;8525.0;559.7;171.4;-4.52;110;SongHau;BASSAC;9638.5;10.7;Bung_Binh_Thien_Lon;659.5;1019.2;SongBinhDi;2430.2;2676.7
SH1a;SH1A;SH;BASSAC;SH;1;A;509144.1;1211136.5;yes;170.0;251.0;266.1;-6.47;67;SongHau;BASSAC;145.8;12.7;SongBinhDi;0.0;247.9;BassacCam;83305.5;538.2
SH1b;SH1B;SH;BASSAC;SH;1;B;512838.5;1211205.9;yes;4333.0;164.2;120.5;-12.24;43;SongHau;BASSAC;4583.4;3.1;Bass_E;74854.9;2018.4;;;
SH2;SH2;SH;BASSAC;SH;2;;509177.7;1203596.1;yes;13780.0;258.8;208.2;-8.11;67;SongHau;BASSAC;14062.9;1.8;;;;;;
SH3;SH3;SH;BASSAC;SH;3;;508681.6;1199643.7;yes;19655.0;243.0;177.9;-19.91;65;SongHau;BASSAC;19954.4;12.0;Bass_West;64702.7;1995.3;;;
SH4;SH4;SH;BASSAC;SH;4;;510213.1;1195888.2;yes;23550.0;221.2;167.0;-12.68;60;SongHau;BASSAC;24139.6;13.2;Hau_1;0.0;1079.3;Bass_West;68851.2;1834.7
SH5;SH5;SH;BASSAC;SH;5;;513403.1;1192013.0;yes;29050.0;241.3;179.9;-9.57;63;SongHau;BASSAC;29223.9;6.3;Hau_1;4321.7;1743.4;ChauDoc-Channel;8443.7;2952.8
SH5p;SH5P;SH;BASSAC;SH;5;P;512060.7;1190857.9;yes;33800.0;204.6;181.5;-7.26;53;SongHau;Hau_1;4565.9;10.6;Takaev-Channel;5193.5;1755.3;BASSAC;29291.3;1763.4
SH6;SH6;SH;BASSAC;SH;6;;514261.4;1186101.8;yes;35290.0;321.5;261.6;-19.84;84;SongHau;BASSAC;35767.3;22.2;Vinh An;15042.0;1065.8;Hau_1;8658.0;1687.9
SH7;SH7;SH;BASSAC;SH;7;;515484.6;1183434.0;yes;39570.0;409.4;363.1;-18.58;109;SongHau;BASSAC;39933.1;3.7;TGLX4-2;0.0;1533.5;Bassac4;9468.6;1722.5
SH8;SH8;SH;BASSAC;SH;8;;520686.8;1182240.1;yes;44935.0;617.7;554.5;-15.44;160;SongHau;BASSAC;45300.9;8.0;;;;;;
SH9;SH9;SH;BASSAC;SH;9;;523299.1;1179269.3;yes;48930.0;527.0;505.2;-14.02;134;SongHau;BASSAC;49429.4;48.6;Rach_Cai_Dam;20261.6;266.3;Bassac4;2750.2;2447.2
SH10;SH10;SH;BASSAC;SH;10;;523230.0;1174422.8;yes;53900.0;436.1;580.5;-18.27;110;SongHau;BASSAC;54399.8;5.0;Tri Ton;0.0;614.3;TGLX14-3;0.0;1047.2
SH11;SH11;SH;BASSAC;SH;11;;525595.5;1170449.2;yes;59000.0;677.0;584.7;-13.75;173;SongHau;BASSAC;59114.9;4.7;Muoi Chau Phu;0.0;294.5;TGLX21-2;0.0;966.3
SH12;SH12;SH;BASSAC;SH;12;;530045.8;1166971.6;yes;64370.0;384.5;302.8;-20.22;102;SongHau;BASSAC;64820.7;38.7;TGLX33;0.0;901.4;Ba The;0.0;1045.8
SH13;SH13;SH;BASSAC;SH;13;;534571.7;1166216.4;yes;69580.0;871.4;1033.2;-16.95;222;SongHau;BASSAC;69573.8;117.2;Cai Tac;0.0;878.6;TGLX37;1047.9;1243.1
SH14;SH14;SH;BASSAC;SH;14;;536201.4;1163385.6;yes;72670.0;947.1;1229.3;-17.96;241;SongHau;BASSAC;73019.0;17.2;TGLX37-2;0.0;468.9;NangGu;4939.7;1536.3
SH15;SH15;SH;BASSAC;SH;15;;539910.6;1157641.5;yes;79450.0;801.3;882.5;-19.3;205;SongHau;BASSAC;80045.1;62.3;Hau_2;3507.6;2048.2;TGLX40;0.0;2367.3
SH15P;SH15P;SH;BASSAC;SH;15;P;538420.3;1156225.3;yes;79450.0;318.5;247.8;-4.25;84;SongHau;Hau_2;3607.8;5.3;TGLX40;712.0;463.0;TGLX40-1;1419.0;1433.9
SH16;SH16;SH;BASSAC;SH;16;;542927.7;1154968.2;yes;83415.0;783.0;721.5;-20.06;201;SongHau;BASSAC;84136.1;4.9;Chac Ca Dao;0.0;583.7;Hau_2;7382.1;1041.1
SH17;SH17;SH;BASSAC;SH;17;;545680.8;1151322.5;yes;91430.0;604.3;535.3;-19.4;157;SongHau;BASSAC;89062.4;26.6;TGLX42-3;1848.6;1289.6;TGLX42;2159.6;1932.5
SH17P;SH17P;SH;BASSAC;SH;17;P;549853.6;1152292.4;yes;88265.0;316.9;266.9;-28.08;86;SongHau;Hau_3;5907.8;38.9;Ong Chuong;20614.1;2405.4;;;
SH18;SH18;SH;BASSAC;SH;18;;549501.9;1147945.3;yes;95965.0;677.0;703.2;-30.62;180;SongHau;BASSAC;94309.1;14.4;Hau_3;10143.4;211.2;Rach Gia LX;0.0;723.2
SH19;SH19;SH;BASSAC;SH;19;;552241.8;1143605.2;yes;100860.0;784.7;829.0;-20.15;200;SongHau;BASSAC;99484.5;24.4;Tron;342.4;928.6;Lap Vo;49069.9;1442.9
SH20;SH20;SH;BASSAC;SH;20;;555546.9;1140172.9;yes;105630.0;1161.1;1392.1;-15.33;291;SongHau;BASSAC;104257.8;54.0;Hau_4;0.0;1321.4;Ba Chieu;0.0;1541.7
SH21;SH21;SH;BASSAC;SH;21;;560136.1;1137183.1;yes;110880.0;1242.3;1707.6;-21.55;320;SongHau;BASSAC;109810.9;45.1;Hau_4;4224.5;2087.1;Thot Not;0.0;2354.7
SH21p;SH21P;SH;BASSAC;SH;21;P;558862.2;1135568.4;yes;110880.0;389.2;466.5;-10.56;101;SongHau;Hau_4;4509.7;36.6;Thot Not;0.0;328.8;BASSAC;109894.8;2100.1
SH22;SH22;SH;BASSAC;SH;22;;564041.1;1133581.3;yes;116420.0;1009.9;972.9;-16.53;260;SongHau;BASSAC;115140.9;19.6;Ong Phu;12518.9;503.9;RachBaNhien_RachCat;421.4;1911.6
SH22P;SH22P;SH;BASSAC;SH;22;P;562625.1;1131905.3;yes;116420.0;401.7;388.8;-11.33;105;SongHau;Hau_4;9797.2;12.9;RachBaNhien_RachCat;98.2;592.2;BASSAC;115248.1;2171.8
SH23;SH23;SH;BASSAC;SH;23;;567561.8;1129117.0;yes;122040.0;757.5;723.3;-22.69;197;SongHau;BASSAC;120874.8;4.5;Duong Hoa LT;17150.1;440.5;RachBaNhien_RachCat;5197.3;1339.0
SH23p;SH23P;SH;BASSAC;SH;23;P;565749.1;1128070.4;yes;122040.0;615.2;525.8;-8.69;157;SongHau;Hau_4;14769.4;16.1;RachBaNhien_RachCat;4777.0;711.6;Thom Rom;0.0;1721.8
SH24;SH24;SH;BASSAC;SH;24;;569236.9;1125267.6;yes;126335.0;1253.9;1230.8;-19.56;319;SongHau;BASSAC;125128.2;39.7;Kenh_Bong_Sung;5974.9;679.1;Hau_4;18255.0;1130.9
SH25;SH25;SH;BASSAC;SH;25;;572426.0;1121874.3;yes;130770.0;1096.2;916.5;-23.07;277;SongHau;BASSAC;129791.7;55.3;Rach_Chanh;127.8;601.2;O Mon;0.0;622.7
SH26;SH26;SH;BASSAC;SH;26;;576557.7;1119164.1;yes;133800.0;1138.2;1102.3;-19.28;236;SongHau;BASSAC;134726.4;39.0;Can Tho HH;20591.4;1025.7;Rach_Chanh;5106.7;1769.2
SH27;SH27;SH;BASSAC;SH;27;;582175.6;1115562.7;yes;140500.0;883.5;1041.3;-19.41;187;SongHau;BASSAC;141521.2;60.5;Hau_5;1657.2;1080.3;KH9;0.0;2068.9
SH27P;SH27P;SH;BASSAC;SH;27;P;581662.5;1114617.5;yes;140500.0;529.5;782.4;-13.83;114;SongHau;Hau_5;1759.9;9.8;BASSAC;141490.9;1135.5;KH9;0.0;1410.7
SH28;SH28;SH;BASSAC;SH;28;;586190.8;1112707.3;yes;145500.0;1006.7;951.1;-35.55;210;SongHau;BASSAC;146631.6;40.0;Nha Man TT;25581.8;982.8;Bao Ke DH;762.0;1765.9
SH29;SH29;SH;BASSAC;SH;29;;589200.0;1108925.5;yes;150400.0;1038.3;1048.6;-21.98;215;SongHau;BASSAC;151477.2;55.3;Hau_6;2839.8;1270.0;Can_Tho;34405.4;2110.3
SH29p;SH29P;SH;BASSAC;SH;29;P;588152.6;1108149.7;yes;150400.0;429.6;737.6;-9.34;94;SongHau;Hau_6;2699.1;25.8;BASSAC;151582.9;1243.8;APMYXEOLAXEOGIUA;8775.7;1762.3
SH30;SH30;SH;BASSAC;SH;30;;591069.9;1105337.8;yes;153900.0;1550.5;1576.3;-18.61;319;SongHau;BASSAC;155578.2;148.9;Hau_7;0.0;564.2;Ben Bao;0.0;633.6
SH31;SH31;SH;BASSAC;SH;31;;593492.5;1102681.0;yes;158500.0;1304.0;1228.4;-18.8;327;SongHau;BASSAC;159229.4;28.1;Rach_Cai_Dau;5198.4;1232.5;Cai Cui;0.0;1391.6
SH31P;SH31P;SH;BASSAC;SH;31;P;594926.2;1104571.0;yes;158500.0;297.7;244.3;-8.79;78;SongHau;Hau_7;3444.9;20.4;DongThang;10641.3;933.0;BASSAC;158902.6;2377.6
SH32;SH32;SH;BASSAC;SH;32;;597217.5;1099440.2;yes;163050.0;985.6;902.1;-21.24;249;SongHau;BASSAC;164177.2;12.3;Nang Mau;115.7;1412.9;Nga Bat;0.0;1591.1
SH32P;SH32P;SH;BASSAC;SH;32;P;599549.3;1102279.6;yes;163050.0;649.8;857.6;-15.09;166;SongHau;Hau_7;8726.1;70.0;DongThang;15113.5;250.6;Mang Thit;46526.2;1191.2
SH33;SH33;SH;BASSAC;SH;33;;601691.4;1095278.7;yes;169200.0;789.0;815.2;-18.37;200;SongHau;BASSAC;170488.8;50.9;Cai Cau;9.5;534.9;Muong Lo2;3739.9;1064.8
SH33P1;SH33P1;SH;BASSAC;SH;33;P1;602751.2;1096321.8;yes;169200.0;567.7;691.3;-18.98;148;SongHau;Hau_9;3487.5;53.7;BASSAC;170509.4;1435.9;Hau_7;15658.7;1640.0
SH33P2;SH33P2;SH;BASSAC;SH;33;P2;603928.2;1097680.1;yes;169200.0;635.6;733.2;-7.98;164;SongHau;Hau_7;15218.9;30.7;Hau_8;1421.5;846.8;MTT37;0.0;985.0
SH33P3;SH33P3;SH;BASSAC;SH;33;P3;604646.5;1098157.4;yes;169200.0;236.4;276.4;-3.89;68;SongHau;Hau_8;1617.8;7.0;MTT37;0.0;162.2;Hau_7;15075.1;881.0
SH34;SH34;SH;BASSAC;SH;34;;605493.3;1091325.4;yes;174900.0;698.7;921.4;-18.8;182;SongHau;BASSAC;176015.3;134.0;Hau_10;1684.9;1048.2;SHU_22_23;234.3;1502.5
SH34P2;SH34P2;SH;BASSAC;SH;34;P2;607310.9;1092919.6;yes;174900.0;1175.5;1576.9;-13.55;298;SongHau;Hau_7;21166.1;29.0;Hau_9;8994.0;282.6;Hau_10;2073.3;1330.7
SH34P3;SH34P3;SH;BASSAC;SH;34;P3;608700.1;1094065.1;yes;174900.0;307.7;637.3;-8.41;80;SongHau;Hau_8;7425.4;6.0;BONGLOT_CR;13771.2;894.7;Hau_7;20555.8;1601.1
SH35;SH35;SH;BASSAC;SH;35;;610335.4;1089031.4;yes;179800.0;3446.3;3944.4;-12.38;737;SongHau;Hau_7;26170.0;20.0;Hau_10;6691.9;353.7;BASSAC;181081.1;1630.3
SH36;SH36;SH;BASSAC;SH;36;;613716.2;1084875.7;yes;185450.0;3317.2;3712.3;-12.98;666;SongHau;BASSAC;186668.9;107.4;Hau_7;30166.3;1453.7;Hau_11;1941.6;1508.1
SH36A;SH36A;SH;BASSAC;SH;36;A;617006.2;1081456.7;yes;190400.0;3263.0;2614.1;-17.29;591;SongHau;BASSAC;191523.2;82.8;CuaDinhAn;0.0;1309.3;CuaTranDe;0.0;1321.6
SH36AP;SH36AP;SH;BASSAC;SH;36;AP;615782.0;1080096.6;no;;;954.8;;;;Hau_11;7166.3;123.5;BASSAC;191863.3;1880.8;Muong Dieu;6632.9;1937.9
SH37;SH37;SH;BASSAC;SH;37;;620454.6;1079252.8;yes;194850.0;1706.7;2061.3;-12.79;374;SongHau;CuaDinhAn;2871.9;97.0;2-9_DOWN;11083.4;853.2;CANCHONG;0.0;1927.9
SH37P;SH37P;SH;BASSAC;SH;37;P;618650.3;1077448.0;yes;194850.0;1684.6;;-9.75;354;SongHau;CuaTranDe;3245.4;158.7;Hau_11;9786.6;1307.5;Dai Ngai;0.0;1479.0
SH38;SH38;SH;BASSAC;SH;38;;624148.2;1075647.4;yes;199500.0;2179.4;2970.9;-14.78;447;SongHau;CuaDinhAn;8069.0;54.5;SHU_10_100)2005;0.0;1392.2;BACTRANG;10628.3;2724.2
SH38P;SH38P;SH;BASSAC;SH;38;P;620558.7;1072855.6;yes;199500.0;1311.7;1622.6;-9.81;277;SongHau;CuaTranDe;8222.1;46.9;K. Ba Xam _Goi_1;3311.0;1748.0;;;
SH39;SH39;SH;BASSAC;SH;39;;627312.0;1072167.5;yes;204200.0;1585.7;1516.8;-14.64;328;SongHau;CuaDinhAn;12799.6;99.7;VAMBUON;16806.8;1458.1;SHU_10_100)2005;3547.0;1735.3
SH39P;SH39P;SH;BASSAC;SH;39;P;622938.4;1067790.5;yes;204200.0;992.5;1271.1;-12.61;210;SongHau;CuaTranDe;13833.4;54.5;K. Bao Bien;8036.8;92.4;SHU_12_108_2005;1756.4;1487.2
SH40;SH40;SH;BASSAC;SH;40;;630962.6;1068645.2;yes;209200.0;1785.2;1750.0;-11.81;420;SongHau;CuaDinhAn;17865.3;36.8;TraCu;20477.4;1571.0;SHU_10_100)2005;9271.3;2380.5
SH40P;SH40P;SH;BASSAC;SH;40;P;626212.3;1063836.1;yes;209200.0;1313.0;1253.5;-10.72;275;SongHau;CuaTranDe;19013.4;4.1;ST29_ST56;0.0;1287.9;U-QLPH51;6934.5;2294.3
SH41;SH41;SH;BASSAC;SH;41;;634546.1;1065671.3;yes;213900.0;2280.0;2284.3;-10.75;484;SongHau;CuaDinhAn;22520.6;51.5;HAMGIANG;118.0;2170.2;Sarai1;14908.5;2641.0
SH41P;SH41P;SH;BASSAC;SH;41;P;629365.0;1059691.7;yes;213900.0;1637.8;1911.4;-9.22;375;SongHau;CuaTranDe;24226.3;121.6;SHU_12_108_2005;14236.3;1889.0;;;
SH42;SH42;SH;BASSAC;SH;42;;638064.6;1062640.8;yes;218400.0;2635.6;2555.4;-12.19;569;SongHau;CuaDinhAn;27150.6;190.6;SHU_10_100)2005;19150.1;1656.1;Sarai1;15412.6;2179.4
SH42P;SH42P;SH;BASSAC;SH;42;P;631975.9;1055099.0;yes;218400.0;1694.1;1650.4;-11.46;348;SongHau;CuaTranDe;29553.3;126.1;SHU_12_108_2005;23600.0;1181.7;K. Cai Xe_Ngan Ro;25207.7;1774.1
SH43;SH43;SH;BASSAC;SH;43;;642104.9;1060214.6;yes;223215.0;2734.0;2652.2;-11.17;565;SongHau;CuaDinhAn;31862.3;110.2;LANGSAC_CANAL;390.8;2534.8;;;
SH43P;SH43P;SH;BASSAC;SH;43;P;633790.5;1051054.3;yes;223215.0;2715.0;3012.7;-9.5;564;SongHau;CuaTranDe;33990.9;51.4;Tiep Nhat;25587.1;1119.0;;;
CC1;CC1;CC;CoChien;CC;1;;602383.9;1136287.0;yes;0.0;1117.0;1210.2;-19.97;231;SongCoChien;CoChien;814.1;48.2;Tien;124886.1;829.7;;;
CC2;CC2;CC;CoChien;CC;2;;606789.5;1134394.2;yes;4900.0;543.7;716.9;-35.74;116;SongCoChien;CoChien;5923.1;17.0;LongHo;0.0;303.1;Bao Ke DH;32734.2;1016.4
CC3;CC3;CC;CoChien;CC;3;;611805.6;1134391.6;yes;10100.0;1461.1;1786.6;-18.22;297;SongCoChien;CoChien;11066.3;12.5;C02;0.0;1966.4;CoChien_1;0.0;2095.8
CC4;CC4;CC;CoChien;CC;4;;616950.9;1132554.4;yes;15750.0;582.1;568.8;-27.48;122;SongCoChien;CoChien;16856.8;5.9;Tong Hung LH;0.0;1552.6;CoChien_1;3818.1;1593.9
CC4p;CC4P;CC;CoChien;CC;4;P;616991.3;1134181.0;yes;15750.0;331.5;274.0;-10.56;74;SongCoChien;CoChien_1;3541.9;28.1;C01;7377.2;662.4;CoChien;16799.8;1620.2
CC5;CC5;CC;CoChien;CC;5;;622504.1;1131490.0;yes;21500.0;1548.7;1608.6;-20.67;314;SongCoChien;CoChien;22642.5;136.5;C03;1031.6;1141.3;C04;4651.7;1408.4
CC6;CC6;CC;CoChien;CC;6;;626783.1;1128423.9;yes;26750.0;1024.9;1227.5;-20.53;211;SongCoChien;CoChien;28035.7;13.5;CoChien_3;0.0;211.5;C07;7203.0;317.0
CC6P;CC6P;CC;CoChien;CC;6;P;625790.0;1127672.8;yes;26750.0;563.6;644.0;-12.1;119;SongCoChien;CoChien_2;1824.7;61.1;CoChien;28477.2;1196.4;CoChien_3;0.0;1392.9
CC7;CC7;CC;CoChien;CC;7;;628574.7;1125198.7;yes;30450.0;602.2;895.0;-19.31;164;SongCoChien;CoChien;31823.3;50.7;CoChien_3;3355.4;1135.0;Mang Thit;449.9;1493.0
CC7P;CC7P;CC;CoChien;CC;7;P;629554.0;1125868.0;yes;30450.0;713.6;1093.0;-17.41;150;SongCoChien;CoChien_3;3595.2;26.7;C08;7064.2;370.6;CoChien;31805.7;1236.7
CC8;CC8;CC;CoChien;CC;8;;630087.2;1120471.0;yes;35350.0;785.5;1178.1;-20.82;205;SongCoChien;CoChien;36969.6;7.2;Kenh_16;1900.9;2978.1;;;
CC8P;CC8P;CC;CoChien;CC;8;P;632963.0;1122694.2;yes;35350.0;639.3;608.7;-14.93;165;SongCoChien;CoChien_3;8269.2;50.9;C38;3441.0;76.0;C41;0.0;709.7
CC9;CC9;CC;CoChien;CC;9;;633037.2;1117361.5;yes;39800.0;1228.5;1366.0;-18.2;318;SongCoChien;CoChien;41263.1;57.2;VUNGLIEM_CRECK;0.0;488.6;;;
CC9P;CC9P;CC;CoChien;CC;9;P;635734.7;1119093.2;yes;39800.0;944.5;949.7;-13.63;247;SongCoChien;CoChien_3;12861.7;36.3;C12;17600.5;645.3;C13;11733.5;1979.0
CC10;CC10;CC;CoChien;CC;10;;637353.3;1113178.3;yes;44700.0;1437.9;938.7;-15.61;374;SongCoChien;CoChien;47345.9;30.8;CAIHOP;1669.0;958.2;Dua_do_Creck;0.0;1042.9
CC10P1;CC10P1;CC;CoChien;CC;10;P1;637558.3;1114073.7;no;;;793.6;;;;CoChien;47050.9;900.8;CAIHOP;912.9;1551.0;CoChien_3;18154.4;1774.4
CC10P2;CC10P2;CC;CoChien;CC;10;P2;638738.4;1115486.2;no;;;1014.0;;;;CoChien_3;17576.5;14.9;Mo Cay;565.6;1283.6;C17;0.0;1646.6
CC11;CC11;CC;CoChien;CC;11;;640872.8;1111632.8;yes;49450.0;2266.2;3137.1;-17.0;577;SongCoChien;CoChien;51479.8;307.9;CoChien_4;0.0;510.6;CoChien_3;21019.5;982.8
CC12;CC12;CC;CoChien;CC;12;;643422.4;1108669.8;yes;53350.0;1580.4;2158.8;-17.6;323;SongCoChien;CoChien;55501.6;20.6;BASI_CR;640.9;1586.2;CoChien_4;3719.6;1793.6
CC12P;CC12P;CC;CoChien;CC;12;P;644794.0;1109917.3;yes;53350.0;288.7;787.5;-6.78;66;SongCoChien;CoChien_4;4025.8;29.0;C17;6542.4;1005.0;C16;11346.3;1848.2
CC13;CC13;CC;CoChien;CC;13;;647206.3;1106012.3;yes;57800.0;2633.4;3516.7;-17.61;536;SongCoChien;CoChien;60220.0;203.9;CuaCungHau;0.0;1016.6;CuaCoChien;0.0;1110.8
CC14;CC14;CC;CoChien;CC;14;;650199.8;1104163.1;yes;61500.0;1589.5;1592.0;-14.71;325;SongCoChien;CuaCoChien;2499.8;67.4;C17;16634.4;1595.8;CuaCungHau;2877.8;1672.7
CC14p;CC14P;CC;CoChien;CC;14;P;649108.1;1102948.5;yes;61500.0;852.4;796.2;-13.23;177;SongCoChien;CuaCungHau;2806.6;41.1;TRAVINH;0.0;231.9;CuaCoChien;2460.6;1700.0
CC15;CC15;CC;CoChien;CC;15;;654102.6;1101567.4;yes;65700.0;1406.6;1760.3;-15.87;289;SongCoChien;CuaCoChien;7191.5;50.5;C25;8015.2;504.6;CuaCungHau;7141.7;2486.9
