ten;vn;kmz;song;pre;num;suf;x_utm;y_utm;co_z;ch_survey;rong_excel;rong_tuyen;z_day;n_pt;file_excel;mike1;mike1_ch;mike1_d;mike2;mike2_ch;mike2_d;mike3;mike3_ch;mike3_d
CC15P;CC15P;CC;CoChien;CC;15;P;652363.2;1099653.8;yes;65700.0;1100.3;1424.0;-12.78;231;SongCoChien;CuaCungHau;7496.5;45.9;CuaCoChien;6975.6;2627.6;C25;8015.2;2850.0
CC16;CC16;CC;CoChien;CC;16;;658197.9;1099213.2;yes;70950.0;1273.5;1505.2;-13.59;263;SongCoChien;CuaCoChien;11937.3;38.5;C27;8752.8;2292.6;C26;4686.8;2653.4
CC16P;CC16P;CC;CoChien;CC;16;P;656709.4;1095843.4;yes;70950.0;1219.4;1653.3;-12.96;249;SongCoChien;CuaCungHau;13292.8;3.3;ngaihiep;0.0;1148.8;VINHKIMCANAL;0.0;2308.2
CC17;CC17;CC;CoChien;CC;17;;662858.2;1096652.7;yes;76300.0;1371.8;1781.9;-15.83;283;SongCoChien;CuaCoChien;17306.0;113.9;C29;9001.3;771.1;;;
CC17P1;CC17P1;CC;CoChien;CC;17;P1;659844.4;1092872.1;no;;;1926.9;;;;CuaCungHau;17644.9;146.7;VINHKIMCANAL;1838.7;1986.3;nhatho_vannhat;0.0;2104.8
CC17P2;CC17P2;CC;CoChien;CC;17;P2;660739.1;1093735.4;no;;;667.3;;;;CuaCungHau;17590.9;1095.3;VINHKIMCANAL;0.0;2944.9;;;
CC18;CC18;CC;CoChien;CC;18;;666593.9;1092750.3;yes;81700.0;1707.9;2012.4;-15.16;347;SongCoChien;CuaCoChien;22753.7;137.7;C30;10363.4;1338.8;;;
CC18P;CC18P;CC;CoChien;CC;18;P;663064.9;1090025.1;yes;81700.0;2482.7;2921.3;-9.46;493;SongCoChien;CuaCungHau;21931.4;34.0;VINHBINH;12082.1;2150.3;;;
CC19;CC19;CC;CoChien;CC;19;;669921.1;1089692.5;yes;86060.0;1752.1;1894.9;-12.43;361;SongCoChien;CuaCoChien;27261.7;55.0;C32;8882.8;2974.0;;;
CC19P;CC19P;CC;CoChien;CC;19;P;665854.4;1086605.0;yes;86060.0;2597.5;2752.3;-9.29;531;SongCoChien;CuaCungHau;26410.9;268.7;VINHBINH;10038.3;1010.0;;;
HL1;HL1;HL;HamLuong;HL;1;;626127.1;1135885.8;yes;0.0;887.4;919.1;-13.89;289;SongHamLuong;Ham Luong;1426.1;13.8;C06;0.0;396.4;B01;509.6;1123.7
HL2;HL2;HL;HamLuong;HL;2;;630749.5;1133829.0;yes;5650.0;365.3;446.3;-14.91;119;SongHamLuong;Ham Luong;6757.5;26.2;HamLuong_1;378.6;569.8;Branch AA;2378.3;1019.7
HL2P1;HL2P1;HL;HamLuong;HL;2;P1;630821.9;1133098.2;yes;5650.0;358.6;369.2;-16.2;96;SongHamLuong;HamLuong_1;914.0;7.6;HamLuong_2;2377.6;645.4;Ham Luong;6717.1;707.1
HL2P2;HL2P2;HL;HamLuong;HL;2;P2;630673.1;1132431.7;yes;5650.0;300.1;354.7;-11.22;80;SongHamLuong;HamLuong_2;2424.9;35.9;HamLuong_1;1132.0;639.6;C07;1609.0;666.3
HL3;HL3;HL;HamLuong;HL;3;;635055.5;1132798.6;yes;10350.0;553.8;673.1;-23.58;178;SongHamLuong;Ham Luong;11905.2;70.7;C11;0.0;855.3;HamLuong_1;4204.1;1391.4
HL4;HL4;HL;HamLuong;HL;4;;639584.8;1134598.6;yes;15250.0;1128.2;1412.7;-11.91;371;SongHamLuong;Ham Luong;16820.2;80.9;Branch AA;11739.2;362.5;Ham Luong1;0.0;1285.4
HL5;HL5;HL;HamLuong;HL;5;;644260.0;1133305.6;yes;20150.0;833.0;1038.8;-15.92;273;SongHamLuong;Ham Luong;21885.1;22.0;B10;0.0;924.5;Ham Luong1;5121.7;1788.7
HL6;HL6;HL;HamLuong;HL;6;;646437.0;1131329.0;yes;22750.0;714.2;1071.6;-15.73;236;SongHamLuong;Ham Luong;24857.3;8.1;Ham Luong1;7938.1;1777.3;Giao Hoa;0.0;1854.8
HL7;HL7;HL;HamLuong;HL;7;;648823.0;1126330.3;yes;28650.0;804.6;843.7;-12.06;169;SongHamLuong;Ham Luong;30660.7;21.2;HamLuong_3;686.8;774.0;Ham Luong1;11616.7;1437.9
HL7P1;HL7P1;HL;HamLuong;HL;7;P1;649592.8;1126426.7;yes;28650.0;179.7;277.5;-6.41;46;SongHamLuong;HamLuong_3;946.5;10.6;HamLuong_4;2209.9;742.6;Ham Luong;30768.5;747.1
HL7P2;HL7P2;HL;HamLuong;HL;7;P2;650361.4;1126574.4;yes;28650.0;468.8;607.6;-13.05;101;SongHamLuong;HamLuong_4;2289.1;36.1;HamLuong_3;1030.7;767.6;B11;7480.0;1372.5
HL8;HL8;HL;HamLuong;HL;8;;651006.2;1121556.9;yes;34000.0;837.9;1072.1;-15.41;174;SongHamLuong;Ham Luong;35928.8;2.5;HamLuong_3;4558.3;1515.8;HamLuong_4;6513.7;1551.8
HL8P;HL8P;HL;HamLuong;HL;8;P;652368.1;1122472.6;yes;34000.0;658.3;778.5;-11.96;138;SongHamLuong;HamLuong_4;6994.4;34.0;Ham Luong;35753.9;1634.2;HamLuong_3;4558.3;1841.4
HL9;HL9;HL;HamLuong;HL;9;;653787.4;1117855.7;yes;38200.0;941.9;1108.3;-22.01;196;SongHamLuong;Ham Luong;40595.0;19.5;HamLuong_4;12058.3;982.5;MCC01_19;0.0;1008.0
HL9P1;HL9P1;HL;HamLuong;HL;9;P1;654619.5;1118405.1;yes;38200.0;468.0;568.4;-8.38;103;SongHamLuong;HamLuong_4;11710.1;48.1;HamLuong_5;1421.4;681.0;B34;0.0;924.6
HL9P2;HL9P2;HL;HamLuong;HL;9;P2;655296.2;1118599.6;yes;38200.0;380.9;525.9;-10.78;86;SongHamLuong;HamLuong_5;1511.3;17.3;B34;0.0;283.9;HamLuong_4;11672.8;655.0
HL10;HL10;HL;HamLuong;HL;10;;657222.9;1114158.6;yes;44000.0;1378.4;1558.0;-11.32;289;SongHamLuong;Ham Luong;45684.2;14.9;C23;0.0;1086.0;HamLuong_5;5619.2;1596.3
HL10P;HL10P;HL;HamLuong;HL;10;P;658327.5;1115357.3;yes;44000.0;424.8;447.1;-12.57;97;SongHamLuong;HamLuong_5;6067.7;19.7;B34;4899.4;702.9;Ham Luong;45916.0;1598.6
HL11;HL11;HL;HamLuong;HL;11;;660375.7;1110933.6;yes;48600.0;1603.4;1724.2;-11.55;332;SongHamLuong;Ham Luong;50286.2;7.3;B12;18512.8;2458.9;HamLuong_5;8376.7;2815.2
HL12;HL12;HL;HamLuong;HL;12;;663383.3;1108509.6;yes;52500.0;2649.9;2988.1;-9.03;541;SongHamLuong;Ham Luong;54220.6;105.2;HamLuong_6;0.0;1167.2;C27;0.0;1577.7
HL13;HL13;HL;HamLuong;HL;13;;666721.2;1105914.7;yes;56650.0;1233.7;1717.8;-14.28;257;SongHamLuong;Ham Luong;58601.7;117.9;C28;3699.7;2258.6;HamLuong_6;2856.9;2416.0
HL13P;HL13P;HL;HamLuong;HL;13;P;667418.3;1108114.0;yes;56650.0;1038.3;1596.0;-10.43;217;SongHamLuong;HamLuong_6;3085.2;120.2;B23;2539.0;785.0;Ham Luong;58402.2;2180.6
HL14;HL14;HL;HamLuong;HL;14;;671359.3;1105152.3;yes;60850.0;2039.6;2168.3;-12.19;417;SongHamLuong;Ham Luong;63615.1;93.4;B27;20641.9;333.7;B16;13073.2;1962.0
HL15;HL15;HL;HamLuong;HL;15;;675253.0;1102766.6;yes;65300.0;2594.3;2623.4;-10.05;536;SongHamLuong;Ham Luong;68180.6;13.2;B30;16102.7;907.3;C31;0.0;2575.7
HL16;HL16;HL;HamLuong;HL;16;;678826.9;1101366.5;yes;69100.0;2790.8;2998.5;-10.81;567;SongHamLuong;Ham Luong;72019.2;131.0;C28;23653.4;2261.7;;;
ST1;ST1;ST;Tien;ST;1;;520638.8;1205981.7;yes;0.0;1837.6;1794.6;-24.55;463;SongTien;Tien;288.9;136.8;MekongCam;308615.9;862.1;Cam42;0.0;900.6
ST2;ST2;ST;Tien;ST;2;;522326.8;1201432.5;yes;4760.0;758.7;932.3;-18.67;192;SongTien;Tien;5282.6;9.9;Tu Thuong;0.0;401.2;DTM140-2;1924.2;1005.0
ST2P;ST2P;ST;Tien;ST;2;P;520647.1;1201213.0;yes;4760.0;720.9;812.3;-14.63;183;SongTien;Tien_1;3415.8;44.9;Tien;4974.6;1675.7;Tu Thuong;0.0;2071.3
ST3;ST3;ST;Tien;ST;3;;523936.6;1196977.5;yes;9550.0;1625.2;1789.8;-24.46;413;SongTien;Tien;10062.4;153.5;Tien_1;9163.6;179.2;DTM141-2;1416.2;2085.7
ST4;ST4;ST;Tien;ST;4;;527079.5;1194297.8;yes;14040.0;693.5;659.9;-33.23;177;SongTien;Tien;14581.0;21.1;Vinh An;0.0;517.8;Tien_2;864.9;1954.2
ST5;ST5;ST;Tien;ST;5;;533866.6;1191661.9;yes;21525.0;757.9;839.0;-21.55;194;SongTien;Tien;22080.9;47.9;Tien_2;8095.4;2222.0;;;
ST5P;ST5P;ST;Tien;ST;5;P;533320.9;1196304.2;yes;21525.0;545.3;555.3;-22.09;140;SongTien;Tien_3;4674.3;29.9;DTM143-3;981.1;767.3;Tra Du;2451.2;1057.3
ST6;ST6;ST;Tien;ST;6;;538957.2;1188946.4;yes;28418.0;1153.0;1312.3;-26.41;291;SongTien;Tien;29064.8;97.6;DTM23-1;1812.2;816.4;An Binh;0.0;1415.3
ST7;ST7;ST;Tien;ST;7;;541286.9;1181897.7;yes;36060.0;574.6;622.1;-20.54;147;SongTien;Tien;36744.7;27.2;DTM67-1;0.0;487.5;Dong Tien3;55.5;893.7
ST8;ST8;ST;Tien;ST;8;;543231.5;1176835.0;yes;41640.0;1107.6;1100.3;-16.06;279;SongTien;Tien;42170.4;37.2;DTM67-2;606.5;1330.1;DTM67-1;4035.6;1883.0
ST9;ST9;ST;Tien;ST;9;;545516.9;1171973.5;yes;46785.0;898.3;847.9;-20.13;227;SongTien;Tien;47553.6;21.5;DTM81-1;729.2;973.0;An Phong MH1;479.8;1726.9
ST10;ST10;ST;Tien;ST;10;;548184.0;1167424.1;yes;52010.0;750.2;721.3;-19.56;191;SongTien;Tien;52836.5;20.1;VamNao2;8856.5;867.5;DTM81-2;674.5;1247.6
ST11;ST11;ST;Tien;ST;11;;551770.0;1164873.5;yes;56516.0;878.5;870.8;-21.05;226;SongTien;Tien;57300.6;87.2;K2-9;14056.3;1025.3;Tien_4;0.0;1433.3
ST12;ST12;ST;Tien;ST;12;;555155.4;1164284.4;yes;60470.0;1155.9;1489.0;-15.19;292;SongTien;Tien;60766.3;5.5;Tan Cong Chi4;10762.7;1809.1;Tien_4;369.0;2020.0
st12P;ST12P;ST;Tien;ST;12;P;559068.3;1164152.6;yes;63930.0;601.5;568.1;-32.1;157;SongTien;Tien;64790.3;65.8;Tan Cong Chi4;13046.4;1779.5;DTM83-3;3859.0;2537.9
ST12P;ST12P;ST;Tien;ST;12;P;553574.5;1162426.9;yes;63930.0;601.5;201.4;-32.1;157;SongTien;Tien_4;1940.4;140.9;Cha Va;0.0;581.0;Tien;59590.4;1902.8
ST13;ST13;ST;Tien;ST;13;;561663.4;1160480.9;yes;68480.0;869.9;1151.5;-20.2;229;SongTien;Tien;69411.2;56.4;Nguyen Van Tiep1;0.0;2027.0;Cao Lanh;511.4;2139.7
ST14;ST14;ST;Tien;ST;14;;562849.0;1156381.6;yes;73045.0;1377.9;1397.1;-27.5;350;SongTien;Tien;73722.7;25.3;Tien_5;0.0;1612.4;Cao Lanh;0.0;2260.3
ST14P;ST14P;ST;Tien;ST;14;P;562405.3;1152838.3;yes;76420.0;259.0;296.2;-10.4;67;SongTien;Tien_4;15478.8;3.7;Tien_5;1965.5;346.3;Tien;76122.1;1893.4
ST15;ST15;ST;Tien;ST;15;;565184.9;1150885.3;yes;79570.0;575.3;513.8;-15.4;143;SongTien;Tien_5;5266.9;11.2;Tien;80064.9;757.7;;;
ST15p1;ST15P1;ST;Tien;ST;15;P1;565645.8;1151554.1;yes;79570.0;670.4;626.3;-15.1;174;SongTien;Tien;79708.2;26.4;Tien_5;5643.9;794.6;Tien_6;669.3;2353.6
ST15p2;ST15P2;ST;Tien;ST;15;P2;566640.4;1153855.6;yes;79570.0;382.9;331.2;-26.4;101;SongTien;Tien_6;1939.8;46.7;Tien;78007.5;1891.0;;;
ST16;ST16;ST;Tien;ST;16;;569286.2;1151066.5;yes;83763.0;639.4;630.3;-30.2;166;SongTien;Tien;83873.6;39.4;Tien_6;5718.1;271.9;Thay Lam;182.4;960.6
ST16P;ST16P;ST;Tien;ST;16;P;571744.7;1150971.5;yes;86520.0;897.2;1072.5;-21.51;229;SongTien;Tien;86342.1;81.8;Tien_6;5718.1;2729.1;;;
ST17;ST17;ST;Tien;ST;17;;574488.3;1150558.0;yes;89240.0;1024.6;;-18.54;260;SongTien;Tien;89124.7;138.1;Cao Lanh;17788.8;1120.0;;;
ST18;ST18;ST;Tien;ST;18;;578912.2;1148653.1;yes;93780.0;1338.6;1348.7;-32.0;338;SongTien;Tien;94034.5;116.5;Song_Tien106_107;0.0;1142.7;DTM104-2;1956.0;1362.8
ST19;ST19;ST;Tien;ST;19;;582121.1;1145129.6;yes;98915.0;1173.7;1243.4;-28.7;294;SongTien;Tien;98982.9;124.9;CaiNho;0.0;154.7;Cai Beo;10227.0;931.6
ST20;ST20;ST;Tien;ST;20;;583967.3;1139895.7;yes;104450.0;1029.8;998.8;-23.4;263;SongTien;Tien;104582.7;18.2;Lap Vo;16566.1;1031.4;Muong Khai;40585.4;1437.6
ST21;ST21;ST;Tien;ST;21;;586507.2;1137237.3;yes;108110.0;1183.3;1180.9;-38.2;302;SongTien;Tien;108411.4;54.7;Lap Vo;12399.5;1068.3;Can Tho HH;1462.0;1553.6
ST22;ST22;ST;Tien;ST;22;;591649.3;1138544.3;yes;113785.0;1253.0;1168.2;-30.51;320;SongTien;Tien;113833.3;34.6;CaiNho;12428.1;953.9;CaiNho_1;3053.2;1616.6
ST23;ST23;ST;Tien;ST;23;;595923.3;1137697.0;yes;118135.0;840.4;799.0;-28.84;216;SongTien;Tien;118257.5;50.4;Lap Vo;0.0;2567.2;Song_Sa_Dec;4177.0;2961.5
ST23P;ST23P;ST;Tien;ST;23;P;597488.8;1135603.2;no;;;397.3;;;;Lap Vo;0.0;83.0;Tien;120869.1;597.6;Xeo Mat CV;0.0;2461.2
ST24;ST24;ST;Tien;ST;24;;599913.9;1136305.3;yes;121500.0;920.2;799.6;-24.23;237;SongTien;Tien;123017.2;28.3;CoChien;0.0;1805.4;Lap Vo;0.0;2605.0
ST25;ST25;ST;Tien;ST;25;;604005.0;1139107.1;yes;126400.0;1018.5;1268.7;-24.05;260;SongTien;Tien;128192.5;129.6;So 1_2;14917.4;2398.3;;;
ST26;ST26;ST;Tien;ST;26;;609244.7;1141696.3;yes;133000.0;441.7;391.3;-19.38;105;SongTien;Tien;134975.1;11.2;K7-2;0.0;585.9;CaiBe_TG;0.0;2028.6
ST27;ST27;ST;Tien;ST;27;;611346.7;1140198.3;yes;135400.0;1484.2;1546.1;-14.72;380;SongTien;Tien;137687.7;278.3;CaiBe_TG;0.0;718.8;C01;0.0;1965.6
ST27p;ST27P;ST;Tien;ST;27;P;611828.0;1141157.8;yes;135400.0;568.4;554.1;-9.25;144;SongTien;CaiBe_TG;782.9;7.4;Tien;137363.7;745.1;Phuoc Xuyen;21040.1;1604.7
ST28;ST28;ST;Tien;ST;28;;616793.7;1136915.3;yes;142050.0;766.9;716.2;-17.39;194;SongTien;Tien;144056.1;12.9;C01;6188.7;1710.6;CaiBe_TG;8385.5;2547.7
ST28p1;ST28P1;ST;Tien;ST;28;P1;620383.2;1137410.3;yes;145650.0;594.3;573.2;-10.99;153;SongTien;CaiBe_TG;10810.0;19.4;Tien;148338.2;776.4;C05;0.0;964.9
ST28P2;ST28P2;ST;Tien;ST;28;P2;620534.0;1136622.5;yes;145650.0;664.1;531.9;-20.14;174;SongTien;Tien;148096.2;11.7;C05;0.0;457.6;CaiBe_TG;11221.1;570.2
ST29;ST29;ST;Tien;ST;29;;621725.3;1137023.4;yes;147050.0;476.6;630.6;-33.6;124;SongTien;Tien;149390.1;77.2;CaiBe_TG;11556.6;695.2;C05;0.0;820.2
ST30;ST30;ST;Tien;ST;30;;626151.3;1137399.9;yes;151600.0;978.0;941.9;-14.02;252;SongTien;Tien;153904.0;17.6;B01;0.0;618.6;Ham Luong;450.1;1144.1
ST31;ST31;ST;Tien;ST;31;;631143.8;1139952.3;yes;157250.0;922.6;938.4;-10.79;238;SongTien;Tien;159523.9;16.5;NamThon;15356.0;772.8;GO28_38;1084.1;1278.8
ST31P;ST31P;ST;Tien;ST;31;P;630791.3;1140647.8;yes;157250.0;416.4;436.7;-3.7;108;SongTien;NamThon;15296.4;4.7;Tien;159501.1;795.9;DTM135-3;3280.5;1359.1
ST32;ST32;ST;Tien;ST;32;;637752.6;1141361.4;yes;164000.0;974.0;950.3;-14.35;200;SongTien;Tien;166417.2;30.9;A01;4493.1;1144.2;Cau Sao;18987.0;1326.1
ST33;ST33;ST;Tien;ST;33;;642432.6;1142694.0;yes;168900.0;913.2;1240.5;-12.2;190;SongTien;Tien;171308.2;46.0;Tien_9;394.6;1203.7;Sau Au;19706.4;1251.5
ST33A;ST33A;ST;Tien;ST;33;A;647151.6;1143785.7;yes;173800.0;728.4;903.3;-14.86;155;SongTien;Tien;176151.4;5.2;Tien_9;7302.1;1229.7;Tien_7;0.0;1724.1
ST33AP1;ST33AP1;ST;Tien;ST;33;AP1;647606.9;1142650.1;yes;173800.0;525.5;552.7;-11.13;113;SongTien;Tien_9;7316.4;6.4;Tien_8;1053.5;589.3;Tien;176256.7;1213.7
ST33P;ST33P;ST;Tien;ST;33;P;643247.8;1141045.8;yes;168900.0;432.1;670.2;-16.33;93;SongTien;Tien_9;2608.8;10.5;A01;0.0;870.1;A02;1923.0;1491.0
ST33P2;ST33P2;ST;Tien;ST;33;P2;647811.1;1142072.8;yes;173800.0;396.1;425.2;-6.98;84;SongTien;Tien_8;1105.1;20.9;Tien_9;7298.2;605.7;Tien;176284.2;1825.4
ST34;ST34;ST;Tien;ST;34;;650117.9;1143139.0;yes;177100.0;1498.7;1568.4;-11.27;305;SongTien;Tien_8;3859.1;37.0;Tien;179625.0;168.7;Tien_9;9616.5;376.1
ST34p;ST34P;ST;Tien;ST;34;P;650201.0;1144429.8;yes;177100.0;315.7;324.7;-10.57;69;SongTien;Tien_7;1483.8;16.9;Bao Dinh;0.0;449.4;Tien;178984.5;850.4
ST35;ST35;ST;Tien;ST;35;;654133.8;1142341.9;yes;181000.0;1169.2;1197.1;-12.95;240;SongTien;Tien;183962.9;45.6;GO_06_12;48460.9;559.1;Cho Gao;27639.1;1152.8
ST36;ST36;ST;Tien;ST;36;;657593.3;1140196.7;yes;185050.0;1342.3;1390.8;-10.92;277;SongTien;Tien;188038.0;37.4;GO_06_12;44185.5;1026.7;Giao Hoa;17656.5;1474.2
ST37CD;ST37CD;ST;Tien;ST;37;CD;662095.3;1137187.8;yes;190700.0;882.1;1021.3;-14.31;184;SongTien;CuaDai;4129.1;143.7;CuaDai_1;1737.3;1770.3;A16;2803.1;2420.4
ST37CDP;ST37CDP;ST;Tien;ST;37;CDP;662825.0;1138846.4;yes;190700.0;323.5;473.3;-11.25;72;SongTien;CuaDai_1;1164.7;1.2;CuaTieu;3707.6;1005.9;KenhHuyen;1360.3;1233.6
ST37CT;ST37CT;ST;Tien;ST;37;CT;662966.9;1139893.9;yes;190700.0;653.2;725.6;-8.89;138;SongTien;CuaTieu;3929.1;27.6;KenhHuyen;1360.3;237.1;CuaDai_1;650.4;922.3
ST38CD;ST38CD;ST;Tien;ST;38;CD;667095.9;1135642.7;yes;196200.0;1359.4;1620.0;-13.45;277;SongTien;CuaDai;9389.1;0.3;CuaDai_1;6711.3;310.4;CuaDai_2;944.3;1202.8
ST38CDP;ST38CDP;ST;Tien;ST;38;CDP;667183.4;1136832.7;yes;196200.0;249.1;446.3;-4.95;56;SongTien;CuaDai_2;834.0;14.8;CuaDai_1;5927.4;512.1;CuaDai;9259.5;1185.8
ST38CT;ST38CT;ST;Tien;ST;38;CT;667960.7;1139200.2;yes;196200.0;711.4;879.2;-11.59;149;SongTien;CuaTieu;8993.7;15.2;K.HPhu-Hquoi;2580.7;250.0;TT107;0.0;1547.5
ST39CD;ST39CD;ST;Tien;ST;39;CD;671708.9;1134337.5;yes;200800.0;1352.1;1754.3;-10.16;278;SongTien;CuaDai;14184.8;66.0;A06;0.0;259.6;A05;191.6;1176.9
ST39CT;ST39CT;ST;Tien;ST;39;CT;672522.3;1137620.5;yes;200800.0;782.0;904.1;-10.79;161;SongTien;CuaTieu;13846.4;106.0;cachuoi;0.0;780.1;K.Vach;2367.6;1457.6
ST40CD;ST40CD;ST;Tien;ST;40;CD;676837.3;1133218.9;yes;206050.0;1655.2;1623.7;-9.41;337;SongTien;CuaDai;19456.4;176.3;A07;0.0;361.0;CuaDai_2;11085.2;1655.0
ST40CT;ST40CT;ST;Tien;ST;40;CT;678070.1;1137318.7;yes;206050.0;731.1;882.8;-10.36;151;SongTien;CuaTieu;19452.7;88.0;K.BoDay;3375.3;1544.4;K.LHai;2977.6;2467.5
ST41CD;ST41CD;ST;Tien;ST;41;CD;681384.7;1131270.0;yes;211000.0;874.4;1156.4;-10.91;199;SongTien;CuaDai;24483.7;167.4;A09;471.0;967.4;CuaDai_3;1469.2;1372.7
ST41CDP1;ST41CDP1;ST;Tien;ST;41;CDP1;681683.9;1132522.3;yes;211000.0;939.0;1082.7;-10.31;195;SongTien;CuaDai_3;1573.7;89.5;CuaDai;24316.7;1109.3;CuaDai_2;17033.3;1139.4
ST41CDP2;ST41CDP2;ST;Tien;ST;41;CDP2;681942.5;1133743.0;yes;211000.0;366.2;456.8;-5.89;79;SongTien;CuaDai_2;16049.6;1.9;CuaDai_3;1643.0;1156.4;CuaDai;23198.6;2237.0
ST41CT;ST41CT;ST;Tien;ST;41;CT;683131.7;1138064.3;yes;211000.0;618.9;713.4;-11.27;129;SongTien;CuaTieu;25390.6;104.2;klonguong1;0.0;390.3;K.LHai;5962.9;1890.2
ST42CD;ST42CD;ST;Tien;ST;42;CD;686252.3;1129944.3;yes;216350.0;2137.1;2227.5;-9.5;434;SongTien;CuaDai;29738.3;185.9;CuaDai_3;6990.9;359.5;A09;18147.9;2366.7
ST42CT;ST42CT;ST;Tien;ST;42;CT;686765.0;1136726.6;yes;216350.0;1008.1;947.6;-10.19;211;SongTien;CuaTieu;29884.0;29.6;K.NamTinh;4954.2;1240.2;TT103;10996.4;2031.7
ST43CD;ST43CD;ST;Tien;ST;43;CD;690442.5;1127637.6;yes;221150.0;2295.6;2343.8;-10.67;469;SongTien;CuaDai;34527.0;73.5;A14;0.0;435.2;;;
ST43CT;ST43CT;ST;Tien;ST;43;CT;691069.2;1135342.8;yes;221150.0;1266.7;1149.2;-8.85;262;SongTien;CuaTieu;34426.1;25.5;bosau_baisay;0.0;320.8;K.Hoai-Belan;0.0;1195.4
VN1;VN1;VN;VamNao;VN;1;;538397.2;1184279.2;yes;355.0;1056.4;1373.5;-18.33;270;SongVamNao;Tien_2;22940.2;67.5;VamNao;1289.8;151.0;Tien;32904.2;1350.8
VN1;VN1;VN;VamNao;VN;1;;538397.2;1184279.2;yes;355.0;1056.4;1373.5;-18.33;270;SongVamNao;Tien_2;22940.2;67.5;VamNao;1289.8;151.0;Tien;32904.2;1350.8
VN2;VN2;VN;VamNao;VN;2;;536935.6;1179672.5;yes;5260.0;639.6;553.4;-23.26;166;SongVamNao;VamNao;6117.2;54.6;;;;;;
VN3;VN3;VN;VamNao;VN;3;;537626.9;1175126.8;yes;9855.0;700.0;681.2;-14.76;177;SongVamNao;VamNao;10749.7;108.8;;;;;;
VN4;VN4;VN;VamNao;VN;4;;539197.3;1171731.9;yes;13670.0;739.0;675.5;-12.35;194;SongVamNao;VamNao;14486.0;5.4;Cai Tac;10862.9;280.5;;;
VN5;VN5;VN;VamNao;VN;5;;539766.6;1168423.4;yes;17315.0;527.8;513.6;-22.03;137;SongVamNao;VamNao;18163.9;21.0;VamNao2;0.0;752.7;Ca Mau;0.0;1572.6
VN6;VN6;VN;VamNao;VN;6;;536050.0;1165490.9;yes;22000.0;488.0;501.4;-19.91;127;SongVamNao;VamNao;23011.6;23.1;BASSAC;71114.7;422.1;TGLX37-3;0.0;837.7
