survey_name;river;file_stem;chainage_survey;x_utm;y_utm;mike_branch;mike_chainage;dist_proj_m;n_pts;width_m;z_bed;z_bank_L;z_bank_R;awet_m2;sec_file
ST1;Tien;SongTien;0.0;520638.76300662896;1205981.6635467631;Tien;288.9;136.8;463;1837.6;-24.55;6.7;6.35;24189.5;SongTien_ST1.csv
ST2;Tien;SongTien;4760.0;522326.83555745723;1201432.473457322;Tien;5282.6;9.9;192;758.7;-18.67;2.57;4.22;11619.9;SongTien_ST2.csv
ST2P;Tien;SongTien;4760.0;520647.070048088;1201213.0405396384;Tien_1;3415.8;44.9;183;720.9;-14.63;3.2;4.85;6815.5;SongTien_ST2P.csv
ST3;Tien;SongTien;9550.0;523936.6074984091;1196977.526763924;Tien;10062.4;153.5;413;1625.2;-24.46;3.63;4.21;25106.6;SongTien_ST3.csv
ST4;Tien;SongTien;14040.0;527079.5302283112;1194297.801278236;Tien;14581.0;21.1;177;693.5;-33.23;5.61;5.84;12956.6;SongTien_ST4.csv
ST4P;Tien;SongTien;15970.0;;;;;;46;187.7;-9.02;4.66;2.31;836.6;SongTien_ST4P.csv
ST5;Tien;SongTien;21525.0;533866.5868892076;1191661.912045371;Tien;22080.9;47.9;194;757.9;-21.55;1.62;4.71;10241.4;SongTien_ST5.csv
ST5P;Tien;SongTien;21525.0;533320.9490443371;1196304.1749329905;Tien_3;4674.3;29.9;140;545.3;-22.09;4.92;4.31;6777.3;SongTien_ST5P.csv
ST6;Tien;SongTien;28418.0;538957.2248663178;1188946.4257826589;Tien;29064.8;97.6;291;1153.0;-26.41;3.56;3.76;19544.8;SongTien_ST6.csv
ST6P;Tien;SongTien;32000.0;;;;;;78;292.1;-9.35;3.46;2.06;1496.0;SongTien_ST6P.csv
ST7;Tien;SongTien;36060.0;541286.882850012;1181897.7119623977;Tien;36744.7;27.2;147;574.6;-20.54;4.52;5.73;9228.5;SongTien_ST7.csv
ST8;Tien;SongTien;41640.0;543231.5415955479;1176834.969145158;Tien;42170.4;37.2;279;1107.6;-16.06;3.46;2.84;14047.2;SongTien_ST8.csv
ST9;Tien;SongTien;46785.0;545516.9177001851;1171973.545228435;Tien;47553.6;21.5;227;898.3;-20.13;2.87;0.07;12533.0;SongTien_ST9.csv
ST10;Tien;SongTien;52010.0;548184.0162838334;1167424.128406796;Tien;52836.5;20.1;191;750.2;-19.56;3.66;3.23;11760.9;SongTien_ST10.csv
ST10P;Tien;SongTien;52920.0;;;;;;78;293.1;-7.16;3.54;3.83;1331.2;SongTien_ST10P.csv
ST11;Tien;SongTien;56516.0;551770.004091034;1164873.525918269;Tien;57300.6;87.2;226;878.5;-21.05;3.93;3.41;13202.5;SongTien_ST11.csv
ST11P;Tien;SongTien;58138.0;;;;;;98;377.5;-7.12;2.73;4.26;1790.9;SongTien_ST11P.csv
ST12;Tien;SongTien;60470.0;555155.3920502054;1164284.3516289662;Tien;60766.3;5.5;292;1155.9;-15.19;3.3;2.79;13884.3;SongTien_ST12.csv
ST12P;Tien;SongTien;63930.0;559068.315512103;1164152.5937978863;Tien;64790.3;65.8;157;601.5;-32.1;3.98;2.64;11334.9;SongTien_ST12P.csv
ST13;Tien;SongTien;68480.0;561663.435236811;1160480.8960212693;Tien;69411.2;56.4;229;869.9;-20.2;2.77;3.36;11280.8;SongTien_ST13.csv
ST14;Tien;SongTien;73045.0;562848.9813003999;1156381.598493928;Tien;73722.7;25.3;350;1377.9;-27.5;3.16;2.86;17446.6;SongTien_ST14.csv
ST14P;Tien;SongTien;76420.0;562405.2739533705;1152838.3049635296;Tien_4;15478.8;3.7;67;259.0;-10.4;1.62;2.37;1676.5;SongTien_ST14P.csv
ST15;Tien;SongTien;79570.0;565184.9420879434;1150885.3119394288;Tien_5;5266.9;11.2;143;575.3;-15.4;1.96;2.37;4834.4;SongTien_ST15.csv
ST16;Tien;SongTien;83763.0;569286.2050682723;1151066.4871071943;Tien;83873.6;39.4;166;639.4;-30.2;3.57;2.59;12492.2;SongTien_ST16.csv
ST16P;Tien;SongTien;86520.0;571744.7091215879;1150971.4890650834;Tien;86342.1;81.8;229;897.2;-21.51;2.84;-1.38;15042.4;SongTien_ST16P.csv
ST17;Tien;SongTien;89240.0;574488.3417707949;1150557.9976117811;Tien;89124.7;138.1;260;1024.6;-18.54;2.35;3.29;15103.5;SongTien_ST17.csv
ST18;Tien;SongTien;93780.0;578912.1686216621;1148653.0808766615;Tien;94034.5;116.5;338;1338.6;-32.0;2.68;-1.28;20774.1;SongTien_ST18.csv
ST19;Tien;SongTien;98915.0;582121.1341736565;1145129.554075132;Tien;98982.9;124.9;294;1173.7;-28.7;3.36;2.64;16704.9;SongTien_ST19.csv
ST19P;Tien;SongTien;98915.0;;;;;;33;114.8;-4.6;0.4;2.5;255.0;SongTien_ST19P.csv
ST20;Tien;SongTien;104450.0;583967.3453793318;1139895.7359278484;Tien;104582.7;18.2;263;1029.8;-23.4;3.19;2.55;16884.2;SongTien_ST20.csv
ST21;Tien;SongTien;108110.0;586507.1766227712;1137237.3326204296;Tien;108411.4;54.7;302;1183.3;-38.2;-0.71;0.87;19388.5;SongTien_ST21.csv
ST21P;Tien;SongTien;111670.0;;;;;;48;183.6;-6.1;2.21;2.87;588.0;SongTien_ST21P.csv
ST22;Tien;SongTien;113785.0;591649.2964927596;1138544.3296761832;Tien;113833.3;34.6;320;1253.0;-30.51;-1.87;2.13;24206.0;SongTien_ST22.csv
ST22P;Tien;SongTien;114524.0;;;;;;64;239.1;-7.01;1.49;2.19;1193.7;SongTien_ST22P.csv
ST23;Tien;SongTien;118135.0;595923.2517896135;1137697.047168265;Tien;118257.5;50.4;216;840.4;-28.84;1.91;-1.26;15934.9;SongTien_ST23.csv
ST24;Tien;SongTien;121500.0;599913.9200323207;1136305.3005089543;Tien;123017.2;28.3;237;920.2;-24.23;1.98;2.41;16376.6;SongTien_ST24.csv
ST25;Tien;SongTien;126400.0;604005.019004522;1139107.0954557462;Tien;128192.5;129.6;260;1018.5;-24.05;0.88;1.11;10406.2;SongTien_ST25.csv
ST26;Tien;SongTien;133000.0;609244.7202190632;1141696.3255374774;Tien;134975.1;11.2;105;441.7;-19.38;2.47;0.77;5599.0;SongTien_ST26.csv
ST27P;Tien;SongTien;135400.0;611828.0340256492;1141157.78352987;CaiBe_TG;782.9;7.4;144;568.4;-9.25;2.14;0.76;3570.1;SongTien_ST27P.csv
ST27;Tien;SongTien;135400.0;611346.7315236983;1140198.3275662535;Tien;137687.7;278.3;380;1484.2;-14.72;1.88;1.05;13268.7;SongTien_ST27.csv
ST28;Tien;SongTien;142050.0;616793.7273423339;1136915.2691964055;Tien;144056.1;12.9;194;766.9;-17.39;2.23;1.09;8284.5;SongTien_ST28.csv
ST29;Tien;SongTien;147050.0;621725.321796265;1137023.4327955593;Tien;149390.1;77.2;124;476.6;-33.6;1.81;1.65;8253.4;SongTien_ST29.csv
ST30;Tien;SongTien;151600.0;626151.296031233;1137399.9342198907;Tien;153904.0;17.6;252;978.0;-14.02;0.12;0.86;7463.2;SongTien_ST30.csv
ST31P;Tien;SongTien;157250.0;630791.3218789081;1140647.827719063;NamThon;15296.4;4.7;108;416.4;-3.7;1.41;1.65;1599.7;SongTien_ST31P.csv
ST31;Tien;SongTien;157250.0;631143.8313940882;1139952.2522036391;Tien;159523.9;16.5;238;922.6;-10.79;0.11;0.65;7323.7;SongTien_ST31.csv
ST32;Tien;SongTien;164000.0;637752.5807518674;1141361.3558998525;Tien;166417.2;30.9;200;974.0;-14.35;2.04;1.27;10152.9;SongTien_ST32.csv
ST33;Tien;SongTien;168900.0;642432.6184230759;1142694.018449955;Tien;171308.2;46.0;190;913.2;-12.2;2.26;1.82;8531.7;SongTien_ST33.csv
ST33P;Tien;SongTien;168900.0;643247.825082558;1141045.7629820795;Tien_9;2608.8;10.5;93;432.1;-16.33;1.69;1.81;4003.7;SongTien_ST33P.csv
ST33A;Tien;SongTien;173800.0;647151.5904142853;1143785.671672174;Tien;176151.4;5.2;155;728.4;-14.86;2.52;2.25;7802.0;SongTien_ST33A.csv
ST34P;Tien;SongTien;177100.0;650200.9860779927;1144429.781710361;Tien_7;1483.8;16.9;69;315.7;-10.57;2.73;1.87;2058.0;SongTien_ST34P.csv
ST34;Tien;SongTien;177100.0;650117.8688708053;1143138.9766855212;Tien_8;3859.1;37.0;305;1498.7;-11.27;1.69;1.82;11960.5;SongTien_ST34.csv
ST35;Tien;SongTien;181000.0;654133.8436688841;1142341.8655850412;Tien;183962.9;45.6;240;1169.2;-12.95;1.99;1.84;12086.2;SongTien_ST35.csv
ST36;Tien;SongTien;185050.0;657593.2716808701;1140196.749005489;Tien;188038.0;37.4;277;1342.3;-10.92;1.53;1.71;13362.9;SongTien_ST36.csv
SH1A;BASSAC;SongHau;170.0;509144.0847846043;1211136.5163552982;BASSAC;145.8;12.7;67;251.0;-6.47;2.56;5.06;1191.5;SongHau_SH1A.csv
SH1B;BASSAC;SongHau;4333.0;512838.4756083026;1211205.9048578758;BASSAC;4583.4;3.1;43;164.2;-12.24;4.97;2.68;999.6;SongHau_SH1B.csv
SH1;BASSAC;SongHau;8525.0;510601.8735683888;1207017.5621585045;BASSAC;9638.5;10.7;110;559.7;-4.52;5.04;3.93;1272.6;SongHau_SH1.csv
SH2;BASSAC;SongHau;13780.0;509177.6703426533;1203596.139370014;BASSAC;14062.9;1.8;67;258.8;-8.11;2.75;2.34;1280.0;SongHau_SH2.csv
SH3;BASSAC;SongHau;19655.0;508681.6226396941;1199643.6800374305;BASSAC;19954.4;12.0;65;243.0;-19.91;4.27;5.41;2007.4;SongHau_SH3.csv
SH4;BASSAC;SongHau;23550.0;510213.08608212817;1195888.1689731902;BASSAC;24139.6;13.2;60;221.2;-12.68;2.91;2.67;1515.8;SongHau_SH4.csv
SH4P;BASSAC;SongHau;25025.0;;;;;;54;189.6;-4.38;4.3;1.83;450.8;SongHau_SH4P.csv
SH5;BASSAC;SongHau;29050.0;513403.1269957471;1192012.9548808744;BASSAC;29223.9;6.3;63;241.3;-9.57;2.11;4.44;1414.5;SongHau_SH5.csv
SH5P;BASSAC;SongHau;33800.0;512060.6950145203;1190857.9466288504;Hau_1;4565.9;10.6;53;204.6;-7.26;3.14;2.23;648.7;SongHau_SH5P.csv
SH6;BASSAC;SongHau;35290.0;514261.3540633758;1186101.759537882;BASSAC;35767.3;22.2;84;321.5;-19.84;3.12;3.43;3805.5;SongHau_SH6.csv
SH7;BASSAC;SongHau;39570.0;515484.6167719285;1183433.9808196353;BASSAC;39933.1;3.7;109;409.4;-18.58;4.33;3.4;5081.9;SongHau_SH7.csv
SH8;BASSAC;SongHau;44935.0;520686.78371405;1182240.0715057552;BASSAC;45300.9;8.0;160;617.7;-15.44;3.74;5.11;5214.5;SongHau_SH8.csv
SH9;BASSAC;SongHau;48930.0;523299.07824301225;1179269.3015026185;BASSAC;49429.4;48.6;134;527.0;-14.02;4.53;1.36;5320.3;SongHau_SH9.csv
SH10;BASSAC;SongHau;53900.0;523230.0233182888;1174422.7628387813;BASSAC;54399.8;5.0;110;436.1;-18.27;2.04;1.97;5175.5;SongHau_SH10.csv
SH11;BASSAC;SongHau;59000.0;525595.4967514919;1170449.207175562;BASSAC;59114.9;4.7;173;677.0;-13.75;1.32;3.21;5843.2;SongHau_SH11.csv
SH12;BASSAC;SongHau;64370.0;530045.8443352625;1166971.5510252803;BASSAC;64820.7;38.7;102;384.5;-20.22;3.01;3.95;4828.3;SongHau_SH12.csv
SH12P;BASSAC;SongHau;66946.0;;;;;;58;215.4;-3.73;3.04;2.5;534.4;SongHau_SH12P.csv
SH13;BASSAC;SongHau;69580.0;534571.6611009811;1166216.4466345885;BASSAC;69573.8;117.2;222;871.4;-16.95;2.87;2.52;8236.3;SongHau_SH13.csv
SH14;BASSAC;SongHau;72670.0;536201.3926575102;1163385.5796798996;BASSAC;73019.0;17.2;241;947.1;-17.96;1.67;3.02;12203.4;SongHau_SH14.csv
SH15;BASSAC;SongHau;79450.0;539910.6162315215;1157641.4981113144;BASSAC;80045.1;62.3;205;801.3;-19.3;2.62;3.03;12547.1;SongHau_SH15.csv
SH15P;BASSAC;SongHau;79450.0;538420.2893979535;1156225.2579382649;Hau_2;3607.8;5.3;84;318.5;-4.25;1.77;3.48;1128.9;SongHau_SH15P.csv
SH16;BASSAC;SongHau;83415.0;542927.6681111609;1154968.234616317;BASSAC;84136.1;4.9;201;783.0;-20.06;2.64;2.47;12802.0;SongHau_SH16.csv
SH17P;BASSAC;SongHau;88265.0;549853.6493703298;1152292.364536405;Hau_3;5907.8;38.9;86;316.9;-28.08;2.92;2.53;4440.9;SongHau_SH17P.csv
SH17;BASSAC;SongHau;91430.0;545680.833515744;1151322.4545097004;BASSAC;89062.4;26.6;157;604.3;-19.4;4.26;3.15;8911.4;SongHau_SH17.csv
SH18;BASSAC;SongHau;95965.0;549501.893369359;1147945.3148917034;BASSAC;94309.1;14.4;180;677.0;-30.62;2.01;3.05;12506.9;SongHau_SH18.csv
SH19;BASSAC;SongHau;100860.0;552241.8469032409;1143605.1767580989;BASSAC;99484.5;24.4;200;784.7;-20.15;3.07;1.75;12293.4;SongHau_SH19.csv
SH20;BASSAC;SongHau;105630.0;555546.9010926653;1140172.915462952;BASSAC;104257.8;54.0;291;1161.1;-15.33;1.77;2.81;14528.7;SongHau_SH20.csv
SH21;BASSAC;SongHau;110880.0;560136.079740997;1137183.0816767362;BASSAC;109810.9;45.1;320;1242.3;-21.55;3.33;0.27;15206.7;SongHau_SH21.csv
SH21P;BASSAC;SongHau;110880.0;558862.2237781096;1135568.3632837222;Hau_4;4509.7;36.6;101;389.2;-10.56;1.68;2.16;2811.8;SongHau_SH21P.csv
SH22;BASSAC;SongHau;116420.0;564041.0507421559;1133581.3254112592;BASSAC;115140.9;19.6;260;1009.9;-16.53;1.39;-0.54;12902.7;SongHau_SH22.csv
SH22P;BASSAC;SongHau;116420.0;562625.1048927563;1131905.318807587;Hau_4;9797.2;12.9;105;401.7;-11.33;0.55;1.61;3275.3;SongHau_SH22P.csv
SH23;BASSAC;SongHau;122040.0;567561.7965654831;1129116.9909490785;BASSAC;120874.8;4.5;197;757.5;-22.69;1.67;1.32;11641.2;SongHau_SH23.csv
SH23P;BASSAC;SongHau;122040.0;565749.1092941039;1128070.4286620743;Hau_4;14769.4;16.1;157;615.2;-8.69;1.62;1.5;4073.2;SongHau_SH23P.csv
SH24;BASSAC;SongHau;126335.0;569236.948573452;1125267.6336313111;BASSAC;125128.2;39.7;319;1253.9;-19.56;1.46;1.5;16882.7;SongHau_SH24.csv
SH25;BASSAC;SongHau;130770.0;572425.9900744738;1121874.3248252487;BASSAC;129791.7;55.3;277;1096.2;-23.07;2.11;1.63;17046.1;SongHau_SH25.csv
SH26;BASSAC;SongHau;133800.0;576557.7071322326;1119164.0528236586;BASSAC;134726.4;39.0;236;1138.2;-19.28;0.54;3.11;16803.0;SongHau_SH26.csv
SH27;BASSAC;SongHau;140500.0;582175.556098267;1115562.6511512788;BASSAC;141521.2;60.5;187;883.5;-19.41;2.22;0.52;13274.5;SongHau_SH27.csv
SH27P;BASSAC;SongHau;140500.0;581662.5227035158;1114617.5108162588;Hau_5;1759.9;9.8;114;529.5;-13.83;-1.34;2.22;5657.3;SongHau_SH27P.csv
